#,プロジェクト,トラッカー,親チケット,親チケットの題名,ステータス,優先度,題名,作成者,担当者,更新日,カテゴリ,対象バージョン,開始日,期日,予定工数,合計予定工数,進捗率,作成日,終了日,最終更新者,関連するチケット,ファイル,実開始日,実終了日,残工数(Lychee),合計残工数(Lychee),プライベート,説明,最新のコメント
174856,業務アシスタント-制御設計サポートAI,タスク,"","",新規,通常,No25_【設計】アップロードされたフォルダの受け取り処理(各ファイルのBlob登録処理)設計,Aさん,"",2025/06/17 15:21,"",Sprint♯26,2025/06/11,2025/06/24,"","",0,2025/06/17 15:20,"",Aさん,"","","","","","",いいえ,"",""
174855,データ化ツール,タスク,"","",新規,通常,【Docデータ化】AISearchインデックス作成,Bさん,"",2025/06/17 15:14,"",Sprint#5,2025/06/11,2025/06/24,"","",0,2025/06/17 15:11,"",Bさん,"","","","","","",いいえ,"汎用アプリと共有のAISearchアカウントを利用
詳細；\\es-sv1\各部\制御エンジニアリング部\21.Project\業務アシスタント\public\データ化\30. 設計\概要設計\DBレイアウト検討.xlsx",""
174854,データ化ツール,タスク,"","",新規,通常,【Docデータ化】開発用_リソース作成,Bさん,"",2025/06/17 15:14,"",Sprint#5,2025/06/11,2025/06/24,"","",0,2025/06/17 15:11,"",Bさん,"","","","","","",いいえ,"",""
174734,MatlabCoDriver,タスク,"","",新規,通常,swap,Cさん,"",2025/06/17 18:12,"",sprint#11,2025/06/11,2025/06/24,"","",0,2025/06/17 13:31,"",Cさん,"","","","","","",いいえ,"",""
174545,データ化ツール,タスク,"","",新規,通常,【Docデータ化】プロンプトの履歴保存,Iさん,"",2025/06/17 10:31,"","",2025/06/17,"","","",0,2025/06/17 10:31,"","","","","","","","",いいえ,"DBのうんぬんだと時間がかかる場合は
取り込みファイル等で、インポート機能でも可
",""
174541,業務アシスタント-制御設計サポートAI,タスク,"","",新規,高め,No25_【調査】openpyxl処理の代替モジュール調査検討,Aさん,"",2025/06/17 12:49,"",Sprint♯26,2025/06/11,2025/06/24,"","",0,2025/06/17 10:29,"","","","","","","","",いいえ,"Goal:
現状/実装予定のExcelファイル操作系の処理に対してopenpyxl以外のモジュールを使用した場合の実現可能性が分かること。",""
174530,データ化ツール,タスク,"","",新規,通常,【Docデータ化】AOAIのtemperatureの調査・設定,Iさん,"",2025/06/17 09:59,"",Sprint#5,2025/06/11,2025/06/24,"","",0,2025/06/17 09:59,"","","","","","","","",いいえ,"",""
174527,走行制御DRアシスタント,タスク,"","",新規,通常,【専門用語検索API】サンプル実装＆検証,Fさん,"",2025/06/17 09:52,"",Sprint#14,2025/06/10,2025/06/16,"","",0,2025/06/17 09:52,"",Fさん,"","","","","","",いいえ,"",""
174526,走行制御DRアシスタント,タスク,"","",新規,通常,【専門用語検索API】実行用環境準備,Fさん,"",2025/06/17 09:50,"",Sprint#14,2025/06/10,2025/06/16,"","",0,2025/06/17 09:50,"",Fさん,"","","","","","",いいえ,"",""
174525,走行制御DRアシスタント,タスク,"","",新規,通常,【専門用語検索API】流れの確認,Fさん,"",2025/06/17 09:49,"",Sprint#14,2025/06/10,2025/06/16,"","",0,2025/06/17 09:49,"",Fさん,"","","","","","",いいえ,"",""
